Year,Month,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women,OH labor force participation rate,OH employment-population ratio,OH labor force,OH employment,OH unemployment,OH unemployment rate
2010,Jan,15.3,10.2,8.6,4.9,8.8,16.5,8.3,12.9,10.2,7.9,65.5,58.2,5874018,5223099,650919,11.1
2011,Jan,14.3,9.5,8.1,4.3,8.1,15.8,6.8,12.3,9.0,7.9,64.5,58.5,5797017,5258819,538198,9.3
2012,Jan,13.0,8.5,7.1,4.3,7.4,13.6,6.7,10.7,7.7,7.6,63.6,58.6,5726309,5281141,445168,7.8
2013,Jan,12.0,8.1,6.9,3.8,7.1,13.7,6.4,9.7,7.5,7.2,63.2,58.4,5710874,5280284,430590,7.5
2014,Jan,9.4,6.5,5.9,3.3,5.7,12.1,4.7,8.3,6.2,5.8,62.8,58.6,5702385,5323236,379149,6.6
2015,Jan,8.3,5.4,5.2,2.8,4.9,10.3,4.0,6.7,5.3,5.0,62.6,59.4,5708153,5415427,292726,5.1
2016,Jan,7.1,5.2,4.2,2.5,4.2,8.7,3.6,5.8,4.4,4.5,62.7,59.6,5732680,5448886,283794,5.0
2017,Jan,7.4,5.2,3.8,2.5,4.2,7.5,3.7,5.8,4.3,4.4,62.8,59.6,5763952,5464013,299939,5.2
2018,Jan,5.4,4.4,3.4,2.1,3.5,7.5,3.0,5.0,3.8,3.6,62.6,59.8,5762656,5503461,259195,4.5
2019,Jan,5.7,3.7,3.4,2.4,3.5,6.8,3.1,4.8,3.7,3.6,62.9,60.2,5803806,5555676,248130,4.3
2020,Jan,5.5,3.8,2.8,2.0,3.1,6.0,3.0,4.3,3.3,3.2,62.9,60.3,5818790,5580352,238438,4.1
2010,Feb,15.8,10.7,8.1,4.9,8.9,16.1,8.2,12.7,10.3,8.0,65.6,58.3,5878946,5230996,647950,11.0
2011,Feb,14.0,9.7,7.9,4.3,8.1,15.5,6.7,11.8,8.9,7.9,64.4,58.5,5788374,5260723,527651,9.1
2012,Feb,13.1,8.3,7.2,4.2,7.4,14.0,6.2,10.9,7.7,7.6,63.5,58.6,5717633,5283067,434566,7.6
